,model,corr,p_value,local corr,local p_value,ratio,g,color
0,RS pyramidal +$K_V1.1$,0.988304094,3.12E-16,1,0.333333333,1.01183432,K,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
1,RS pyramidal +$K_V1.1$,1,3.91E-20,1,0.333333333,1,$K_V1.1$,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
2,RS pyramidal +$K_V1.1$,0.971428571,6.85E-17,1,0.333333333,1.029411765,Leak,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
3,RS pyramidal +$K_V1.1$,-1,3.12E-16,-1,0.333333333,1,Na,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
4,RS inhibitory +$K_V1.1$,-0.516483517,0.009753043,-1,0.333333333,1.936170213,K,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
5,RS inhibitory +$K_V1.1$,-0.80952381,3.20E-09,-1,0.333333333,1.235294118,$K_V1.1$,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
6,RS inhibitory +$K_V1.1$,0.942857143,0,1,0.333333333,1.060606061,Leak,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
7,RS inhibitory +$K_V1.1$,-0.966666667,0,-1,0.333333333,1.034482759,Na,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
8,FS +$K_V1.1$,1,3.91E-20,1,0.333333333,1,K,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
9,FS +$K_V1.1$,0.238095238,0.140323001,0.333333333,1,1.4,$K_V1.1$,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
10,FS +$K_V1.1$,0.990476191,8.22E-19,1,0.333333333,1.009615385,Leak,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
11,FS +$K_V1.1$,-1,3.91E-20,-1,0.333333333,1,Na,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
16,Cb stellate,-1,3.91E-20,-1,0.333333333,1,K,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
17,Cb stellate,-1,3.91E-20,-1,0.333333333,1,A,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
18,Cb stellate,1,3.91E-20,1,0.333333333,1,Leak,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
19,Cb stellate,-1,0,-1,0.333333333,1,Na,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
20,Cb stellate +$K_V1.1$,-0.961904762,4.06E-16,-1,0.333333333,1.03960396,K,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
21,Cb stellate +$K_V1.1$,-0.980952381,9.00E-18,-1,0.333333333,1.019417476,$K_V1.1$,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
22,Cb stellate +$K_V1.1$,-1,3.91E-20,-1,0.333333333,1,A,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
23,Cb stellate +$K_V1.1$,1,3.91E-20,1,0.333333333,1,Leak,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
