,alteration,RS Pyramidal,RS Inhibitory,FS,RS Pyramidal +$K_V1.1$,RS Inhibitory +$K_V1.1$,FS +$K_V1.1$,Cb stellate,Cb stellate +$K_V1.1$,Cb stellate $\Delta$$K_V1.1$,STN,STN +$K_V1.1$,STN $\Delta$$K_V1.1$
0.5,0.5,,,-0.014206599,,,-0.057365385,0.257917446,0.074683898,-0.027653926,0.124771343,0.409871109,0.287882973
0.535886731,0.535886731,,,-0.025862784,,,-0.052327192,0.219019975,0.063564912,-0.025350085,0.115056758,0.350571594,0.227163501
0.574349177,0.574349177,,,-0.031339061,-0.027699954,,-0.046586897,0.18386819,0.053763805,-0.023046683,0.105567,0.296152075,0.169157401
0.615572207,0.615572207,,,-0.032854518,-0.036047379,,-0.040761032,0.152028702,0.044434414,-0.020541682,0.093864012,0.23864126,0.099267924
0.659753955,0.659753955,-0.088667253,,-0.031834599,-0.025997506,,-0.035244139,0.123157614,0.035936972,-0.017938278,0.082665501,0.190892968,0.044390493
0.707106781,0.707106781,-0.076723086,,-0.02906648,-0.018300025,,-0.029063295,0.096981186,0.02822282,-0.01523769,0.070380993,0.134725712,0.006713908
0.757858283,0.757858283,-0.060953366,,-0.025023745,-0.012992907,,-0.023092212,0.073266374,0.021650173,-0.012340238,0.057127816,0.082614119,-0.013483661
0.812252396,0.812252396,-0.045708832,,-0.019346306,-0.009926891,0.072794758,-0.016988143,0.052256958,0.01503052,-0.009449029,0.043633135,0.036368218,-0.02322685
0.870550563,0.870550563,-0.030572875,,-0.0135036,-0.006798231,0.031698512,-0.010854607,0.032913318,0.009487651,-0.006359531,0.02965777,0.006122931,-0.023759285
0.933032992,0.933032992,-0.015549207,0.337810291,-0.007014366,-0.003536861,0.011807484,-0.005186057,0.015534914,0.004611326,-0.003277532,0.014915074,-0.021311763,-0.01633841
1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.071773463,1.071773463,0.012352504,-0.163051405,0.008135197,0.003510123,-0.007578334,0.007793359,-0.013806743,-0.003613534,0.003377905,-0.015039517,0.03027964,0.02546334
1.148698355,1.148698355,0.029748516,-0.2773328,0.016059241,0.007177559,-0.012244006,0.014714162,-0.025986026,-0.007007379,0.006847044,-0.030418787,0.069919452,0.039786232
1.231144413,1.231144413,0.045164988,-0.352813345,0.0243224,0.010794544,-0.01527733,0.021434647,-0.036642122,-0.009813954,0.010414054,-0.045731024,0.117701024,0.06095108
1.319507911,1.319507911,0.059957917,-0.406504181,0.033559548,0.014582579,-0.0168509,0.027883043,-0.046258239,-0.012058988,0.014071815,-0.061429655,0.174165253,0.047981724
1.414213562,1.414213562,0.07469661,-0.446662535,0.042461027,0.018656697,-0.017611636,0.035026776,-0.054155423,-0.013751279,0.017827143,-0.077189304,0.240064997,0.024252303
1.515716567,1.515716567,0.087626491,-0.478216092,0.052233775,0.022649536,-0.017482362,0.041581682,-0.060828819,-0.014912724,0.021674925,-0.092801529,0.314764877,0.00408781
1.624504793,1.624504793,0.104747682,-0.504466128,0.061654287,0.026878388,-0.016630573,0.050687992,-0.066391908,-0.015550054,0.025725893,-0.107986451,0.39992207,-0.014434929
1.741101127,1.741101127,0.119403966,-0.510074325,0.071882484,0.029898342,-0.015505809,0.058321564,-0.070954588,-0.015679063,0.029761338,-0.123074827,0.492744025,-0.030079751
1.866065983,1.866065983,0.134662273,-0.542053956,0.081723705,0.035228423,-0.013890376,0.066047395,-0.074645771,-0.0156847,0.033997802,-0.137647195,0.593954584,-0.044157795
2,2,0.149272357,-0.557066813,0.092339086,0.039648561,-0.011566129,0.070838354,-0.077590307,-0.014830793,0.0382147,-0.15165247,0.708489885,-0.056100036
