,model,corr,p_value,local corr,local p_value,ratio,Slope (k),color
0,RS pyramidal +$K_V1.1$,0.838095238,4.00E-10,1,0.333333333,1.193181818,$K_V1.1$ activation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
1,RS pyramidal +$K_V1.1$,-1,0.016666667,-1,1,1,Na activation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
2,RS pyramidal +$K_V1.1$,1,0,1,0.333333333,1,Na inactivation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
3,RS pyramidal +$K_V1.1$,-0.933333333,0,-1,0.333333333,1.071428571,$K_V1.1$ inactivation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
4,RS pyramidal +$K_V1.1$,-1,0.002777778,-1,0.333333333,1,K activation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
5,RS inhibitory +$K_V1.1$,0.990476191,8.22E-19,1,0.333333333,1.009615385,$K_V1.1$ activation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
6,RS inhibitory +$K_V1.1$,-1,0.002777778,-1,1,1,Na activation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
7,RS inhibitory +$K_V1.1$,0.985294118,0,1,0.333333333,1.014925373,Na inactivation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
8,RS inhibitory +$K_V1.1$,0.771428571,3.40E-08,1,0.333333333,1.296296296,$K_V1.1$ inactivation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
9,RS inhibitory +$K_V1.1$,1,1,1,1,1,K activation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
10,FS +$K_V1.1$,1,3.91E-20,1,0.333333333,1,$K_V1.1$ activation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
11,FS +$K_V1.1$,-1,5.01E-08,-1,1,1,Na activation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
12,FS +$K_V1.1$,0.941520468,0,1,0.333333333,1.062111801,Na inactivation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
13,FS +$K_V1.1$,-0.428571429,0.006091025,-0.333333333,1,0.777777778,$K_V1.1$ inactivation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
14,FS +$K_V1.1$,-0.422222222,0.108313492,-1,0.333333333,2.368421053,K activation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
20,Cb stellate,-0.980952381,9.00E-18,-1,0.333333333,1.019417476,Na activation,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
21,Cb stellate,-0.831578947,2.30E-09,-1,0.333333333,1.202531646,A inactivation,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
22,Cb stellate,-0.133333333,0.419594708,-1,0.333333333,7.5,A activation,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
23,Cb stellate,0.923809524,0,1,0.333333333,1.082474227,Na inactivation,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
24,Cb stellate,0.990476191,8.22E-19,1,0.333333333,1.009615385,K activation,"[0.5803921569, 0.4039215686, 0.7411764706, 1.0]"
25,Cb stellate +$K_V1.1$,0.904761905,0,1,0.333333333,1.105263158,$K_V1.1$ activation,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
26,Cb stellate +$K_V1.1$,-0.476190476,0.002083748,-1,0.333333333,2.1,Na activation,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
27,Cb stellate +$K_V1.1$,-0.947712418,0,-1,0.333333333,1.055172414,A inactivation,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
28,Cb stellate +$K_V1.1$,-1,3.91E-20,-1,0.333333333,1,A activation,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
29,Cb stellate +$K_V1.1$,0.638095238,1.62E-05,1,0.333333333,1.567164179,Na inactivation,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
30,Cb stellate +$K_V1.1$,1,3.91E-20,1,0.333333333,1,$K_V1.1$ inactivation,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
31,Cb stellate +$K_V1.1$,0.80952381,3.20E-09,1,0.333333333,1.235294118,K activation,"[0.5490196078, 0.337254902, 0.2941176471, 1.0]"
32,Cb stellate $\Delta$$K_V1.1$,1,3.12E-16,1,0.333333333,1,$K_V1.1$ activation,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
33,Cb stellate $\Delta$$K_V1.1$,-1,5.01E-08,-1,1,1,Na activation,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
34,Cb stellate $\Delta$$K_V1.1$,1,4.20E-09,1,0.333333333,1,Na inactivation,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
35,Cb stellate $\Delta$$K_V1.1$,1,3.91E-20,1,0.333333333,1,$K_V1.1$ inactivation,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
36,Cb stellate $\Delta$$K_V1.1$,-1,1.64E-17,-1,0.333333333,1,K activation,"[0.8901960784, 0.4666666667, 0.7607843137, 1.0]"
37,STN,-0.295238095,0.064933578,1,0.333333333,-3.387096774,Na activation,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
38,STN,-0.933333333,0,-1,0.333333333,1.071428571,Na inactivation,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
39,STN,0.666666667,5.32E-06,1,0.333333333,1.5,A activation,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
40,STN,0.238095238,0.140323001,1,0.333333333,4.2,K activation,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
41,STN,-0.085714286,0.611932607,-1,0.333333333,11.66666667,A inactivation,"[0.49803921570000004, 0.49803921570000004, 0.49803921570000004, 1.0]"
42,STN +$K_V1.1$,0.990476191,8.22E-19,1,0.333333333,1.009615385,$K_V1.1$ activation,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
43,STN +$K_V1.1$,-1,3.91E-20,-1,0.333333333,1,Na activation,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
44,STN +$K_V1.1$,-0.952380952,0,-1,0.333333333,1.05,Na inactivation,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
45,STN +$K_V1.1$,-0.990476191,8.22E-19,-1,0.333333333,1.009615385,A activation,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
46,STN +$K_V1.1$,0.942857143,0,1,0.333333333,1.060606061,$K_V1.1$ inactivation,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
47,STN +$K_V1.1$,0.704761905,1.03E-06,1,0.333333333,1.418918919,K activation,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
48,STN +$K_V1.1$,0.190476191,0.242200375,-1,0.333333333,-5.25,A inactivation,"[0.7372549020000001, 0.7411764706, 0.1333333333, 1.0]"
49,STN $\Delta$$K_V1.1$,1,3.91E-20,1,0.333333333,1,$K_V1.1$ activation,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
50,STN $\Delta$$K_V1.1$,-1,3.91E-20,-1,0.333333333,1,Na activation,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
51,STN $\Delta$$K_V1.1$,-0.971428571,6.85E-17,-1,0.333333333,1.029411765,Na inactivation,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
52,STN $\Delta$$K_V1.1$,0.923809524,0,1,0.333333333,1.082474227,$K_V1.1$ inactivation,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
53,STN $\Delta$$K_V1.1$,0.980952381,9.00E-18,1,0.333333333,1.019417476,K activation,"[0.0901960784, 0.7450980392000001, 0.8117647059, 1.0]"
0,RS pyramidal,-0.252747253,0.233111849,-1,0.333333333,3.956521739,Na activation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
1,RS pyramidal,0.191176471,0.308114545,0.333333333,1,1.743589744,Na inactivation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
2,RS pyramidal,0.973856209,0,1,0.333333333,1.026845638,K activation,"[0.1215686275, 0.4666666667, 0.7058823529, 1.0]"
3,RS inhibitory,0.272727273,0.249579521,1,0.333333333,3.666666667,Na activation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
4,RS inhibitory,0.956043956,2.40E-09,1,0.333333333,1.045977012,Na inactivation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
5,RS inhibitory,0.934065934,1.25E-08,1,0.333333333,1.070588235,K activation,"[1.0, 0.49803921570000004, 0.0549019608, 1.0]"
6,FS,-0.464052288,0.006652817,-1,0.333333333,2.154929578,Na activation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
7,FS,0.986928105,0,1,0.333333333,1.013245033,Na inactivation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
8,FS,1,3.91E-20,1,0.333333333,1,K activation,"[0.17254901960000002, 0.6274509804, 0.17254901960000002, 1.0]"
