,alteration,RS Pyramidal,RS Inhibitory,FS,RS Pyramidal +$K_V1.1$,RS Inhibitory +$K_V1.1$,FS +$K_V1.1$,Cb stellate,Cb stellate +$K_V1.1$,Cb stellate $\Delta$$K_V1.1$,STN,STN +$K_V1.1$,STN $\Delta$$K_V1.1$
0.5,0.5,,,,-0.234551241,-0.236150849,-0.145273686,,-0.151189235,-0.223279206,,-0.625890817,-0.631323281
0.535886731,0.535886731,,,,-0.22776961,-0.228313556,-0.140044088,,-0.108275631,-0.216212856,,-0.561326311,-0.610168275
0.574349177,0.574349177,,,,-0.219170667,-0.217553014,-0.133871621,,-0.0583915,-0.207030918,,-0.505378171,-0.585504756
0.615572207,0.615572207,,,,-0.207531425,-0.182731449,-0.124984808,,-0.0253269,-0.195711966,,-0.428935109,-0.554504141
0.659753955,0.659753955,,,,-0.192162425,-0.184504364,-0.114028628,,-0.011056917,-0.181630074,,-0.437104447,-0.511834377
0.707106781,0.707106781,,,,-0.171496238,-0.161436575,-0.09955107,,-0.004358358,-0.164148751,,-0.376491954,-0.447820406
0.757858283,0.757858283,,,,-0.146295483,-0.133956146,-0.081774548,,-0.018283948,-0.143103123,,-0.265060433,-0.366730903
0.812252396,0.812252396,,,,-0.11581535,-0.080573709,-0.060631101,,-0.024305118,-0.1174851,,-0.22110496,-0.277671471
0.870550563,0.870550563,,,,-0.081202446,-0.069604615,-0.036546678,,-0.023176949,-0.086622819,,-0.161147248,-0.184734793
0.933032992,0.933032992,,,,-0.041935976,-0.035594265,-0.017656286,,-0.014881508,-0.047760815,,-0.113028459,-0.090095867
1,1,,,,0,0,0,,0,0,,0,0
1.071773463,1.071773463,,,,0.044366626,0.035406824,0.02107584,,0.020495557,0.059765799,,0.104431173,0.081533271
1.148698355,1.148698355,,,,0.077851104,0.070523899,0.035741301,,0.075369573,0.135497044,,0.202605472,0.155036337
1.231144413,1.231144413,,,,0.087672724,0.10428604,0.04999518,,0.083277454,0.232535141,,0.293145508,0.22197479
1.319507911,1.319507911,,,,0.111430041,0.13800766,0.061735668,,0.105599335,0.356854198,,0.375355096,0.281436471
1.414213562,1.414213562,,,,0.132489387,0.171605855,0.071778741,,0.13904012,0.513064209,,0.447533063,0.333992648
1.515716567,1.515716567,,,,0.131029279,0.204865097,0.081548633,,0.174242899,0.708028038,,0.511666972,0.381161041
1.624504793,1.624504793,,,,0.124090007,0.238838246,0.087264322,,0.217290226,0.925376399,,0.56910387,0.422525662
1.741101127,1.741101127,,,,0.115814206,0.275128126,0.092004746,,0.262052586,,,0.620454288,0.459689988
1.866065983,1.866065983,,,,0.104599345,0.312504418,0.094878977,,0.309124236,,,0.665886379,0.493595755
2,2,,,,0.090427658,0.357463011,0.096526562,,0.359045419,,,0.706276427,0.523486808
