,I,I_inhib,RS Pyramidal,RS Inhibitory,FS,RS Pyramidal +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,RS Inhibitory +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,FS +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate,Cb stellate +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN,STN +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.005,0.00175,0,0,0,0,0,0,0,0,0,0,0,0
2,0.01,0.0035,0,0,0,0,0,0,0,0,0,0,0,0
3,0.015,0.00525,0,0,0,0,0,0,0,0,0,0,0,0
4,0.02,0.007,0,0,0,0,0,0,0,0,0,0,0,0
5,0.025,0.00875,0,0,0,0,0,0,0,0,0,0,0,0
6,0.03,0.0105,0,0,0,0,0,0,0,0,0,0,0,0
7,0.035,0.01225,0,0,0,0,0,0,0,0,0,0,0,0
8,0.04,0.014,0,0,0,0,0,0,0,0,0,0,0,0
9,0.045,0.01575,0,0,0,0,0,0,0,0,0,0,0,0
10,0.05,0.0175,0,0,0,0,0,0,0,0,0,0,0,0
11,0.055,0.01925,0,8.419640382,0,0,0,0,0,0,0,0,0,0
12,0.06,0.021,0,8.261902314,0,0,0,0,0,0,0,0,0,0
13,0.065,0.02275,0,11.57702195,0,0,0,0,0,0,0,0,0,0
14,0.07,0.0245,0,14.56906783,0,0,0,0,0,0,0,0,0,0
15,0.075,0.02625,0,17.32501733,0,0,0,0,0,0,0,0,0,0
16,0.08,0.028,0,19.89812181,0,0,0,0,0,0,0,0,0,0
17,0.085,0.02975,0,22.32558155,0,0,0,0,0,0,0,0,0,0
18,0.09,0.0315,0,24.63256458,0,0,0,0,0,0,0,0,0,0
19,0.095,0.03325,0,26.83954109,0,0,0,0,0,0,0,0,0,0
20,0.1,0.035,0,28.96032436,0,0,0,0,0,0,0,0,0,0
21,0.105,0.03675,0,31.00775194,0,0,0,0,0,0,0,68.85263788,0,0
22,0.11,0.0385,2.570958453,32.9904915,0,0,0,0,0,0,0,70.42561008,0,0
23,0.115,0.04025,3.595570257,34.91548423,0,0,0,0,0,0,0,71.99843062,0,0
24,0.12,0.042,4.253871023,36.78950342,0,0,0,0,0,0,0,73.23793023,0,0
25,0.125,0.04375,4.849111807,38.61749516,0,0,0,0,0,0,0,74.4280693,0,0
26,0.13,0.0455,5.425445342,40.40240858,3.612651507,0,0,0,0,0,0,75.57073113,0,0
27,0.135,0.04725,6.00024001,42.15005606,4.417546495,0,0,0,0,0,0,76.63532014,0,0
28,0.14,0.049,6.581689745,43.86139868,5.113781642,0,0,0,0,0,0,77.66153447,0,0
29,0.145,0.05075,7.174759204,45.53922661,5.779121963,0,0,0,0,0,0,78.65421488,0,0
30,0.15,0.0525,7.782858264,47.18465159,6.439564685,0,0,0,0,0,0,79.52568546,0,0
31,0.155,0.05425,8.407423766,48.80231086,7.108836284,0,0,0,0,0,0,80.38928898,0,0
32,0.16,0.056,9.04997852,50.39306899,7.794991727,0,0,0,0,0,0,81.26001929,0,0
33,0.165,0.05775,9.711189254,51.95635965,8.503220606,0,0,0,0,0,0,82.03006366,0,0
34,0.17,0.0595,10.39155376,53.49574418,9.238045981,0,0,0,0,0,0,82.85257814,0,0
35,0.175,0.06125,11.09118807,55.01110661,10.0022005,0,0,0,0,0,0,83.60246656,0,0
36,0.18,0.063,11.81032618,56.50515948,10.79796998,0,0,0,0,0,0,84.27182008,0,0
